조사연도,시도,지역,기관명,기관유형대분류,기관유형소분류,우편번호,기관주소1,기관주소2,기관대표 전화번호
2023,서울,강남구  ,에듀빌평생교육원,언론기관부설,,062-18,서울특별시 강남구 선릉로 325,301호,02-555-7907
2023,서울,강남구  ,민병철평생교육원,지식·인력개발형태,,061-48,서울특별시 강남구 선릉로93길 40,607호,02-594-0512
2023,서울,강남구  ,풍월당아카데미평생교육시설,지식·인력개발형태,,060-18,서울특별시 강남구 도산대로53길 39,,02-512-2356
2023,서울,서초구  ,한국스코필드평생교육원,지식·인력개발형태,,066-86,서울특별시 서초구 효령로 105,,02-583-8315
2023,서울,서초구  ,푸른나무재단인성교육센터평생교육원,시민사회단체부설,,066-50,서울특별시 서초구 서초대로46길 88,,02-522-7198
2023,서울,강남구  ,지산경영평생교육원,시민사회단체부설,,062-39,서울특별시 강남구 테헤란로8길 33,5층,02-566-9135
2023,서울,서초구  ,논현한국문화센터평생교육원,시민사회단체부설,,065-36,서울특별시 서초구 강남대로 515,정명빌딩 3층 302호,02-512-3314
2023,서울,강남구  ,씨에프오 평생교육원,지식·인력개발형태,,062-37,서울특별시 강남구 논현로79길 8,아이네트빌딩,02-501-2322
2023,서울,서초구  ,라이지움 평생교육원,지식·인력개발형태,,066-12,서울특별시 서초구 서초대로73길 40,(서초동 강남오피스텔) 306~311 902 905~907 1112 1115 1117호,02-537-7144
2023,서울,강남구  ,한국관세사회사이버교육센터 평생교육원,원격형태,,061-04,서울특별시 강남구 언주로129길 20,,02-547-9714
2023,서울,서초구  ,하선정요리평생교육원,원격형태,,065-46,서울특별시 서초구 신반포로 162,7층 하선정요리학원,02-591-5051
2023,서울,서초구  ,아이비김영평생교육시설,원격형태,,066-26,서울특별시 서초구 서초대로78길 48,,070-4014-5102
2023,서울,강남구  ,케이엘씨에이평생교육센터,원격형태,,062-52,서울특별시 강남구 강남대로 320,,02-553-0094
2023,서울,서초구  ,제이알씨에듀 평생교육원,원격형태,,067-08,서울특별시 서초구 명달로 54,JRC빌딩 7층,02-735-5015
2023,서울,서초구  ,은하원격평생교육원,원격형태,,065-27,서울특별시 서초구 강남대로97길 49-3,,02-3444-6191
2023,서울,서초구  ,에스엘아이 원격평생교육시설,원격형태,,066-47,서울특별시 서초구 서초대로42길 12,,02-541-7158
2023,서울,강남구  ,이태종엔아이이논술연구소 부설 평생교육원,언론기관부설,,061-84,서울특별시 강남구 역삼로 519,,02-734-9973
2023,서울,서초구  ,서울평생교육원,시민사회단체부설,,066-80,서울특별시 서초구 방배중앙로57 2층,,02-3478-1243
2023,서울,서초구  ,한국수공예문화협회 평생교육원,시민사회단체부설,,067-39,서울특별시 서초구 남부순환로 2640-11,,02-539-9605
2023,서울,강남구  ,한국문화예술평생교육원,시민사회단체부설,,062-37,서울특별시 강남구 논현로85길 37,,02-588-5803
2023,서울,강남구  ,현대문화센터 압구정점 평생교육원,지식·인력개발형태,,060-05,서울특별시 강남구 압구정로29길 21,,02-549-4560
2023,서울,서초구  ,퍼포먼스웨이 평생교육원,지식·인력개발형태,,067-43,서울특별시 서초구 남부순환로350길 54,2층,02-538-0946
2023,서울,강남구  ,인지어스 평생교육원,지식·인력개발형태,,061-51,서울특별시 강남구 테헤란로 311,아남타워 2층 인지어스 커리어센터,02-2188-2010
2023,서울,강남구  ,한국IT비즈니스진흥협회부설평생교육원,지식·인력개발형태,,062-51,서울특별시 강남구 역삼로 120,,02-556-2024
2023,서울,강남구  ,스카우트부설평생교육원,지식·인력개발형태,,062-21,서울특별시 강남구 언주로 431,3층_4층5층,02-2188-6758
2023,서울,강남구  ,한국이러닝산업 원격평생교육원,원격형태,,061-79,서울특별시 강남구 삼성로86길 23,3층(대치동),02-557-7601
2023,서울,서초구  ,위더스 원격평생교육원,원격형태,,066-15,서울특별시 서초구 서초대로73길 12 7층일부 8층일부,,1599-2081
2023,서울,서초구  ,러닝팩토리 원격평생교육원,원격형태,,066-40,서울특별시 서초구 사임당로 64,401호,02-525-0602
2023,서울,서초구  ,카이스 원격평생교육시설,원격형태,,066-45,서울특별시 서초구 반포대로30길 66 3층일부,,02-584-5511
2023,서울,서초구  ,유스타온원격평생교육시설,원격형태,,066-12,서울특별시 서초구 서초대로73길 40,,02-532-7177
2023,서울,강남구  ,한국상담심리교육개발원 평생교육원,언론기관부설,,060-97,서울특별시 강남구 선릉로 614,,02-3443-0901
2023,서울,서초구  ,이엘평생교육원,언론기관부설,,066-42,서울특별시 서초구 서초중앙로8길 111 3층 4층,,02-597-2270
2023,서울,강남구  ,한국이러닝산업 평생교육원,시민사회단체부설,,061-79,서울특별시 강남구 삼성로86길 23,구일빌딩 3층,02-557-7601
2023,서울,서초구  ,한국리더십센터그룹평생교육원,지식·인력개발형태,,067-16,서울특별시 서초구 반포대로 34 6층일부(서초동),로얄빌딩 6층,02-2106-4000
2023,서울,서초구  ,케이 평생교육원,지식·인력개발형태,,066-34,서울특별시 서초구 서초중앙로 108 5층,,02-523-9547
2023,서울,강남구  ,아이다움 평생교육원,지식·인력개발형태,,062-40,서울특별시 강남구 테헤란로8길 40 3층,,02-563-5253
2023,서울,서초구  ,KCL평생교육원,지식·인력개발형태,,067-11,서울특별시 서초구 남부순환로319길 7,(재)한국건설생활환경시험연구원,02-3415-8883
2023,서울,서초구  ,에스피씨컬리너리아카데미 평생교육원,지식·인력개발형태,,067-37,서울특별시 서초구 남부순환로 2620,(양재동_ 강남 P타워 3층 일부),02-2276-5950
2023,서울,서초구  ,비채평생교육원,시민사회단체부설,,066-47,서울특별시 서초구 서초대로 248 4층,,02-584-8730
2023,서울,강남구  ,아이이엔인스티튜트 평생교육원,지식·인력개발형태,,062-32,서울특별시 강남구 테헤란로 4길 14 6층,,02-3471-9911
2023,서울,강남구  ,한국코치협회 평생교육원,시민사회단체부설,,062-34,서울특별시 강남구 테헤란로 124,,02-563-8798
2023,서울,서초구  ,아이씨이오평생교육원,언론기관부설,,067-32,서울특별시 서초구 서운로 13,,02-3474-3055
2023,서울,강남구  ,아레테평생교육원,언론기관부설,,061-55,서울특별시 강남구 삼성로 557,,02-540-3835
2023,서울,강남구  ,리드톡 원격평생교육시설,원격형태,,062-67,서울특별시 강남구 강남대로42길 16-2,미르빌딩 5층,02-722-0505
2023,서울,강남구  ,한국에프피센터 평생교육시설,원격형태,,061-48,서울특별시 강남구 테헤란로43길 26 307호,,02-567-9295
2023,서울,강남구  ,(IT)메가존아이티평생교육원,원격형태,,062-35,서울특별시 강남구 테헤란로20길 16,4층,02-1811-9680
2023,서울,강남구  ,에스비에스아카데미 사이버평생교육원,원격형태,,062-58,서울특별시 강남구 강남대로 286,,02-6952-0764
2023,서울,강남구  ,인터치 평생교육시설,원격형태,,061-93,서울특별시 강남구 선릉로90길 44,,02-3447-1090
2023,서울,서초구  ,리스크컨설팅코리아 평생교육원,원격형태,,066-31,서울특별시 서초구 서초대로 356 506호,,02-2263-4394
2023,서울,강남구  ,와이비엠비앤씨 평생교육시설,지식·인력개발형태,,061-29,서울특별시 강남구 테헤란로1길 48,3~5층 (YBM the Biz),02-564-4172
2023,서울,강남구  ,정상제이엘에스 평생교육원,지식·인력개발형태,,062-83,서울특별시 강남구 영동대로 227,,02-1644-0500
2023,서울,강남구  ,젠컨설팅 평생교육원,지식·인력개발형태,,061-34,서울특별시 강남구 테헤란로 115,,02-558-0413
2023,서울,서초구  ,파고다에스씨에스 평생교육시설,지식·인력개발형태,,066-14,서울특별시 서초구 강남대로 419 7층일부 8층일부,,02-6907-2402
2023,서울,서초구  ,한국직업상담협회 평생교육원,시민사회단체부설,,066-43,서울특별시 서초구 효령로57길 3,,02-584-4220
2023,서울,서초구  ,한국종합심리상담 교육센터 평생교육원,언론기관부설,,066-65,서울특별시 서초구 방배로94,덕우빌딩 4층,02-3471-5522
2023,서울,강남구  ,용감한컴퍼니 원격평생교육원,원격형태,,062-47,서울특별시 강남구 논현로75길 8,3층,02-2038-0222
2023,서울,서초구  ,커리어원 평생교육원,원격형태,,066-54,서울특별시 서초구 효령로53길 18,608,02-587-1997
2023,서울,강남구  ,병원코디네이터협회부설평생교육시설,시민사회단체부설,,062-23,서울특별시 강남구 논현로 428,,02-3445-6493
2023,서울,강남구  ,에스이올에듀평생교육원,언론기관부설,,061-31,서울특별시 강남구 강남대로94길 71-9,,02-557-0802
2023,서울,강남구  ,에스이평생교육원,언론기관부설,,061-31,서울특별시 강남구 강남대로94길 71-9,,02-557-0802
2023,서울,서초구  ,흰물결아카데미평생교육원,언론기관부설,,065-95,서울특별시 서초구 반포대로 150,,02-536-8641
2023,서울,서초구  ,어소트락(ASSORT ROCK)평생교육원,언론기관부설,,065-43,서울특별시 서초구 사평대로 335 4층 401-2호 402~3호(반포동 금성빌딩),,02-598-9457
2023,서울,서초구  ,수학사랑평생교육원,언론기관부설,,065-71,서울특별시 서초구 방배중앙로 82,,02-2205-5003
2023,서울,서초구  ,우리아카데미평생교육원,언론기관부설,,067-53,서울특별시 서초구 양재천로19길 52,2층_ 3층일부(양재동),02-557-1603
2023,서울,강남구  ,트렌드헌터평생교육원,언론기관부설,,061-93,서울특별시 강남구 테헤란로70길 14-8,A동 7층(대치동_ 세왕개발빌딩),02-566-9162
2023,서울,서초구  ,비씨씨캐나다평생교육원,지식·인력개발형태,,067-19,서울특별시 서초구 반포대로4길 58,BCC평생교육원,02-2135-2000
2023,서울,서초구  ,챔프스터디평생교육시설,지식·인력개발형태,,066-16,서울특별시 서초구 강남대로61길 23,서초빌딩 2층(203호)_3층,02-566-0028
2023,서울,강남구  ,소프트엔지니어소사이어티,지식·인력개발형태,,061-64,서울특별시 강남구 영동대로 513,,02-6000-5189
2023,서울,서초구  ,비에이치성과관리센터평생교육원,지식·인력개발형태,,065-73,서울특별시 서초구 방배로25길 17 302호,,02-706-5115
2023,서울,서초구  ,티엠디평생교육원,지식·인력개발형태,,066-43,서울특별시 서초구 서초중앙로8길 26,,02-595-3391
2023,서울,강남구  ,이노시드평생교육원,지식·인력개발형태,,063-12,서울특별시 강남구 논현로16길 14-5,202,1588-9553
2023,서울,서초구  ,덤인평생교육원,지식·인력개발형태,,067-21,서울특별시 서초구 효령로 320,5층,02-529-0111
2023,서울,강남구  ,데이타솔루션평생교육원,지식·인력개발형태,,061-01,서울특별시 강남구 언주로 620,,02-3467-7200
2023,서울,강남구  ,랭귀지샵원격평생교육원,원격형태,,062-34,서울특별시 강남구 테헤란로14길 6,,02-469-0515
2023,서울,강남구  ,에스이올에듀원격평생교육원,원격형태,,061-31,서울특별시 강남구 강남대로94길 71-9,,070-7450-2051
2023,서울,서초구  ,브랜트옥스폰평생교육원,원격형태,,066-31,서울특별시 서초구 서초중앙로22길 113,서초동 성주빌딩 202호,02-871-2152
2023,서울,서초구  ,한호원격평생교육원,원격형태,,067-52,서울특별시 서초구 강남대로27길 14,,
2023,서울,강남구  ,에듀런스원격평생교육원,원격형태,,061-31,서울특별시 강남구 논현로95길 24,,02-563-7713
2023,서울,강남구  ,기산에듀원격평생교육시설,원격형태,,061-81,서울특별시 강남구 영동대로85길 20-7,,02-421-1118
2023,서울,서초구  ,커리어에이치알디(HRD)원격평생교육원,원격형태,,066-26,서울특별시 서초구 사임당로 173,(서초동 서전빌딩) 902호,02-3487-3665
2023,서울,서초구  ,브랜트에듀원격평생교육시설,원격형태,,066-31,서울특별시 서초구 서초중앙로22길 113,,02-871-2153
2023,서울,서초구  ,서울교육대학교부설원격평생교육원,원격형태,,066-39,서울특별시 서초구 서초중앙로 96,서울교육대학교 에듀웰센터 1층,02-3475-2358
2023,서울,서초구  ,월드버텍평생교육원,원격형태,,067-48,서울특별시 서초구 강남대로 148,상록빌딩3층,02-576-3776
2023,서울,서초구  ,캐럿에듀평생교육원,원격형태,,065-41,서울특별시 서초구 강남대로 479,2층,02-518-5468
2023,서울,서초구  ,티엠디원격평생교육원,원격형태,,066-43,서울특별시 서초구 서초중앙로8길 26,,02-3486-2478
2023,서울,강남구  ,멀티캠퍼스원격평생교육원,원격형태,,061-52,서울특별시 강남구 언주로 508,12층,02-1544-9001
2023,서울,서초구  ,엠디엔피원격평생교육원,원격형태,,066-26,서울특별시 서초구 서초대로78길 48,송림빌딩 6층,02-6918-3758
2023,서울,강남구  ,도산평생교육원,시민사회단체부설,,060-20,서울특별시 강남구 도산대로45길 20,,02-541-1800
2023,서울,강남구  ,한국기술개발협회(KOTERA)부설정책자금평생교육원,시민사회단체부설,,063-15,서울특별시 강남구 개포로 22길 92,3층,02-572-8520
2023,서울,서초구  ,금융아카데미평생교육원,언론기관부설,,065-95,서울특별시 서초구 법원로1길 22,금융아카데미평생교육원,02-501-5131
2023,서울,서초구  ,내추럴문화평생교육원,언론기관부설,,066-33,서울특별시 서초구 서초대로56길 40,102호,02-3471-4331
2023,서울,서초구  ,공룡컴평생교육원,원격형태,,066-53,서울특별시 서초구 효령로 259,비02(7호)(서초동),02-2052-1777
2023,서울,강남구  ,위포트토커비원격평생교육원,원격형태,,062-42,서울특별시 강남구 역삼로3길 17,,02-565-8340
2023,서울,강남구  ,케빈잉글리쉬원격평생교육원,원격형태,,061-78,서울특별시 강남구 테헤란로82길 15,,070-8223-1280
2023,서울,서초구  ,아이파비즈넷원격평생교육원,원격형태,,066-32,서울특별시 서초구 서초대로60길 9-42,6층,02-522-8273
2023,서울,서초구  ,기적이닷컴원격평생교육원,원격형태,,066-49,서울특별시 서초구 서초대로42길 92,,02-522-9222
2023,서울,강남구  ,에스티에이교육센터평생교육원,지식·인력개발형태,,061-51,서울특별시 강남구 테헤란로43길 18,2층 일부,02-6248-1700
2023,서울,강남구  ,메이븐클라우드서비스평생교육원,지식·인력개발형태,,061-08,서울특별시 강남구 언주로 609,,02-2139-9610
2023,서울,강남구  ,아바평생교육원,지식·인력개발형태,,061-25,서울특별시 강남구 논현로105길 46,천지빌딩 3층,02-566-8618
2023,서울,서초구  ,한국교육리더십센터평생교육원,지식·인력개발형태,,067-16,서울특별시 서초구 반포대로 34,로얄빌딩 6층,02-2106-4000
2023,서울,강남구  ,한국보건복지인력개발원 보건산업교육본부 평생교육시설,지식·인력개발형태,,061-52,서울특별시 강남구 테헤란로 305,한국기술센터 9_ 10층,02-3299-1400
2023,서울,강남구  ,멀티캠퍼스평생교육원,지식·인력개발형태,,062-20,서울특별시 강남구 테헤란로 212,멀티캠퍼스 역삼 2~3층_ 5~17층 전체,02-3429-5273
2023,서울,강남구  ,참지식인력개발원,지식·인력개발형태,,062-57,서울특별시 강남구 논현로67길 13-3,,
2023,서울,강남구  ,에듀랩스원격평생교육원,원격형태,,060-35,서울특별시 강남구 강남대로 622,,
2023,서울,강남구  ,일공일랩평생교육원,원격형태,,062-60,서울특별시 강남구 도곡로 150,,02-571-5101
2023,서울,서초구  ,지방공기업전문교육원,지식·인력개발형태,,066-47,서울특별시 서초구 반포대로30길 12-6,,02-3489-2700
2023,서울,강남구  ,윌비스변리사평생교육원,지식·인력개발형태,,061-31,서울특별시 강남구 테헤란로19길 18,,070-5029-3031
2023,서울,강남구  ,락스피킹원격평생교육원,원격형태,,062-52,서울특별시 강남구 역삼로 114,851호,02-6010-5230
2023,서울,강남구  ,명가차이니즈원격평생교육시설,원격형태,,060-18,서울특별시 강남구 선릉로157길 14,,02-1588-4554
2023,서울,강남구  ,대한건설협회부설 건설인재평생교육원,지식·인력개발형태,,060-50,서울특별시 강남구 언주로 711,1층 일부,02-3485-8303
2023,서울,강남구  ,더블유코딩평생교육원,원격형태,,061-99,서울특별시 강남구 선릉로72길 10,,02-501-6064
2023,서울,강남구  ,마소캠퍼스평생교육시설,원격형태,,062-41,서울특별시 강남구 강남대로 369,12층 52호(서초동),02-6080-2022
2023,서울,강남구  ,야나두원격평생교육원,원격형태,,061-73,서울특별시 강남구 영동대로96길 26,3_4층,02-3143-7651
2023,서울,서초구  ,예당미디어교육센터평생교육원,언론기관부설,,066-49,서울특별시 서초구 반포대로20길 28_ 5층,409호,02-812-1588
2023,서울,서초구  ,와우토크(wowtalk)평생교육시설,원격형태,,066-09,서울특별시 서초구 서운로 226,,1600-8611
2023,서울,서초구  ,원앤원평생교육원,원격형태,,066-32,서울특별시 서초구 서초대로58길 35-11,,02-3454-1151
2023,서울,서초구  ,유니센터평생교육원,언론기관부설,,066-12,서울특별시 서초구 강남대로 429,,02-3477-2412
2023,서울,서초구  ,지식펜평생교육원,원격형태,,067-54,서울특별시 서초구 양재천로11길 33,4층,070-4693-3506
2023,서울,강남구  ,키즈넷원격평생교육원,원격형태,,062-27,서울특별시 강남구 역삼로 230,,02-6207-2281
2023,서울,강남구  ,제이필라테스평생교육원,언론기관부설,,063-49,서울특별시 강남구 광평로51길 8503,(수서동) 504~505호,02-451-8999
2023,서울,강남구  ,한국기업기술가치평가협회(KVA)평생교육원,지식·인력개발형태,,061-26,서울특별시 강남구 논현로543,,02-582-5971
2023,서울,강남구  ,한국디지털기업협회강남평생교육원,지식·인력개발형태,,061-58,서울특별시 강남구 삼성로95길 15,902호,02-566-4971
2023,서울,서초구  ,미듬평생교육원,지식·인력개발형태,,067-29,서울특별시 서초구 강남대로 283,3층 일부,02-6949-4997
2023,서울,강남구  ,분양정보닷컴평생교육원,원격형태,,061-36,서울특별시 강남구 논현로 556,,02-6083-0088
2023,서울,강남구  ,사내근로복지기금평생교육원,언론기관부설,,061-20,서울특별시 강남구 강남대로112길 33,,02-2644-3244
2023,서울,강남구  ,삼성디자인교육원(sadi),지식·인력개발형태,,060-50,서울특별시 강남구 언주로147길 9-11,,02-3438-0311
2023,서울,강남구  ,스마트러닝스튜디오원격평생교육원,원격형태,,061-64,서울특별시 강남구 영동대로 513,,02-6000-6251
2023,서울,강남구  ,심리서비스M원격평생교육원,원격형태,,062-92,서울특별시 강남구 언주로30길 13,2201호,
2023,서울,강남구  ,나무필라테스평생교육원,언론기관부설,,061-35,서울특별시 강남구 봉은사로 210,,02-565-0978
2023,서울,강남구  ,밸런스투자아카데미원격평생교육시설,원격형태,,062-55,서울특별시 강남구 도곡로7길 8,DS빌딩(아라니아)별관 4층,02-6929-4887
2023,서울,서초구  ,횃불트리니티신학대학원대학교부설원격평생교육원,원격형태,,067-52,서울특별시 서초구 바우뫼로31길 70,,02-570-7552
2023,서울,서초구  ,컬러라이즈평생교육원,언론기관부설,,066-26,서울특별시 서초구 사임당로 173,(서초동) 4층 9층,02-587-5205
2023,서울,강남구  ,라비앙로즈필라테스평생교육원,언론기관부설,,062-23,서울특별시 강남구 테헤란로 28길 42,,
2023,서울,서초구  ,이테시스원격평생교육시설,원격형태,,066-93,서울특별시 서초구 방배천로2길 15,,02-533-6311
2023,서울,서초구  ,타임즈원격평생교육원,원격형태,,061-59,서울특별시 서초구 남부순환로346길 100,양재동 5층,02-392-3800
2023,서울,강남구  ,클라우드교육센터,지식·인력개발형태,,062-35,서울특별시 강남구 논현로85길 46,,02-2108-9213
2023,서울,강남구  ,위포트 토커비 평생교육시설,지식·인력개발형태,,062-42,서울특별시 강남구 역삼로3길 17,,070-4365-5612
2023,서울,강남구  ,위포트 토커비 별관 평생교육시설,지식·인력개발형태,,062-42,서울특별시 강남구 역삼로1길 18,,02-566-8340
2023,서울,강남구  ,위포트토커비2별관평생교육시설,지식·인력개발형태,,062-42,서울특별시 강남구 역삼로3길 17,,070-4365-5612
2023,서울,서초구  ,서울커리어아카데미평생교육시설,원격형태,,066-93,서울특별시 서초구 방배천로2길 5,비즈하이브 602호,
2023,서울,강남구  ,소옴크리에이티브,언론기관부설,,060-46,서울특별시 강남구 논현로133길 8,,
2023,서울,서초구  ,탑그레이드원격평생교육시설,원격형태,,066-50,서울특별시 서초구 반포대로24길96,2층,02-529-8100
2023,서울,서초구  ,실천원격평생교육원,원격형태,,066-21,서울특별시 서초구 서초대로78길 36,,02-6329-1018
2023,서울,서초구  ,이디엠평생교육원,원격형태,,066-11,서울특별시 서초구 서초대로77길 55,,
2023,서울,서초구  ,패트릭온라인토플원격평생교육시설,원격형태,,066-12,서울특별시 서초구 강남대로69길 11,,
2023,서울,서초구  ,대한통합로에듀원격평생교육원,원격형태,,066-40,서울특별시 서초구 사임당로 46,,
2023,서울,강남구  ,김승국통번역평생교육원,원격형태,,062-41,서울특별시 강남구 테헤란로4길 38-4,,02-6941-0579
2023,서울,강남구  ,한국문화의집평생교육원,지식·인력개발형태,,061-80,서울특별시 강남구 테헤란로92길 12-9,,02-3011-1705
2023,서울,강남구  ,에티버스러닝평생교육원,지식·인력개발형태,,060-46,서울특별시 강남구 학동로 171,1층.2층 일부,02-6004-7588
2023,서울,강남구  ,렉스아카데미평생교육원,지식·인력개발형태,,060-14,서울특별시 강남구 선릉로162길 11,,
2023,서울,서초구  ,리드윈평생교육원,지식·인력개발형태,,066-21,서울특별시 서초구 서초대로78길 36,,02-6329-1018
2023,서울,서초구  ,엔코아아카데미,지식·인력개발형태,,066-43,서울특별시 서초구 효령로 335,대호프레조빌 1층 엔코아 플레이데이터,02-754-7302
2023,서울,서초구  ,지알케이(GRK)에듀케이션원격평생교육시설,원격형태,,066-27,서울특별시 서초구 강남대로51길 10,B1_ 102-24호,1899-8695
2023,서울,서초구  ,비앤피랩평생교육원,언론기관부설,,066-50,서울특별시 서초구 서초중앙로 83,서운빌딩 2층 201-202호,070-8154-1314
2023,서울,서초구  ,동심영유아교육생활문화연구소평생교육원,지식·인력개발형태,,067-35,서울특별시 서초구 강남대로37길 12-3,,
2023,서울,강남구  ,마루원격평생교육원,원격형태,,063-73,서울특별시 강남구 자곡로 204-5,,02-3453-0579
2023,서울,서초구  ,리앤저널부설평생교육원,언론기관부설,,066-64,서울특별시 서초구 방배로 126,3층,02-553-1776
2023,서울,강남구  ,브레인피에치디평생교육원,원격형태,,060-69,서울특별시 강남구 선릉로 704,,02-554-0805
2023,서울,강남구  ,한국인터넷전문가협회평생교육원,시민사회단체부설,,060-93,서울특별시 강남구 선릉로 636,,02-874-8702
2023,서울,강남구  ,헥사곤평생교육원,지식·인력개발형태,,061-09,서울특별시 강남구 언주로 603,3층,02-517-9988
2023,서울,서초구  ,중앙법률원격평생교육원,원격형태,,066-48,서울특별시 서초구 반포대로26길 1,3층 진우빌딩 (서초동),02-6933-1177
2023,서울,강남구  ,와이즈인캠퍼스평생교육원,원격형태,,062-29,서울특별시 강남구 언주로 309,기성빌딩 3층,02-558-5144
2023,서울,강남구  ,영어내비원격평생교육원,원격형태,,062-46,서울특별시 강남구 역삼로 153,,02-581-4353
2023,서울,서초구  ,라이지움원격평생교육원,원격형태,,066-12,서울특별시 서초구 서초대로73길 40,강남오피스텔 315~317호 914호(서초동 강남오피스텔),02-537-7144
2023,서울,서초구  ,에어클래스원격평생교육원,원격형태,,066-33,서울특별시 서초구 서초대로320,10층 (서초동_ 하림빌딩),02-745-1202
2023,서울,강남구  ,필라테스더핏평생교육원,언론기관부설,,062-74,서울특별시 강남구 언주로 201,2층 205호,02-571-7740
2023,서울,서초구  ,나우누리원격평생교육원,원격형태,,066-51,서울특별시 서초구 반포대로14길 71,208호,02-2299-0824
2023,서울,서초구  ,스타트링크원격평생교육원,원격형태,,066-21,서울특별시 서초구 서초대로74길 29,412호,
2023,서울,서초구  ,요가룩스교대점평생교육원,언론기관부설,,066-50,서울특별시 서초구 사임당로 39,,02-581-7771
2023,서울,서초구  ,북극성부동산아카데미원격평생교육원,원격형태,,066-21,서울특별시 서초구 강남대로55길 9-7 1501호(서초동 강남아르젠),,02-584-8003
2023,서울,서초구  ,한솔사이버아카데미평생교육원,원격형태,,067-75,서울특별시 서초구 마방로10길 25,A동 1708호,02-575-6118
2023,서울,강남구  ,한국교육학습개발원원격평생교육원,원격형태,,061-80,서울특별시 강남구 영동대로85길 30,,
2023,서울,서초구  ,바디빈플러스평생교육원,언론기관부설,,065-80,서울특별시 서초구 서래로 6,,02-594-0666
2023,서울,서초구  ,호아스쿨평생교육원,언론기관부설,,065-30,서울특별시 서초구 신반포로47길 52,,070-8269-2871
2023,서울,강남구  ,국제대학교류평생교육원,언론기관부설,,060-83,서울특별시 강남구 영동대로 602,2층,02-548-0570
2023,서울,서초구  ,아이방주뉴스평생교육원,언론기관부설,,066-75,서울특별시 서초구 방배천로22길 16,,02-585-9175
2023,서울,강남구  ,아쥬르필라테스강남역점평생교육원,언론기관부설,,062-32,서울특별시 강남구 강남대로 378,10층,02-554-8999
2023,서울,서초구  ,글로빛평생교육원,언론기관부설,,066-27,서울특별시 서초구 사임당로 174,,02-562-9312
2023,서울,서초구  ,의료경영전략연구소평생교육원,언론기관부설,,066-34,서울특별시 서초구 서초중앙로20길 34-5,,02-845-3475
2023,서울,강남구  ,타임교육평생교육원,지식·인력개발형태,,061-53,서울특별시 강남구 봉은사로 442,,02-590-6985
2023,서울,강남구  ,SPC평생교육원,지식·인력개발형태,,061-45,서울특별시 강남구 선릉로105길 3,,02-567-2567
2023,서울,강남구  ,더존평생교육원,지식·인력개발형태,,062-42,서울특별시 강남구 강남대로78길 8,한국빌딩 9층,02-568-2462
2023,서울,강남구  ,마소캠퍼스ICT평생교육원,지식·인력개발형태,,062-21,서울특별시 강남구 테헤란로 242,,02-6080-2022
2023,서울,강남구  ,나카무라아카데미평생교육원,지식·인력개발형태,,060-52,서울특별시 강남구 학동로31길 12,1_2층 (논현동_ 벤쳐캐슬빌딩),02-540-1711
2023,서울,강남구  ,코리아에듀평생교육원,지식·인력개발형태,,061-32,서울특별시 강남구 테헤란로25길 7,8층,02-558-4608
2023,서울,강남구  ,한국종합교육원평생교육원,지식·인력개발형태,,061-00,서울특별시 강남구 선릉로 653,,02-542-9813
2023,서울,강남구  ,중간계캠퍼스원격평생교육원,원격형태,,062-32,서울특별시 강남구 테헤란로4길 6,,
2023,서울,서초구  ,피아노하우스원격평생교육시설,원격형태,,067-79,서울특별시 서초구 동산로 9-9,지하1층,070-4077-4190
2023,서울,서초구  ,메가스터디교육원격평생교육시설,원격형태,,066-43,서울특별시 서초구 효령로 321,,1644-8806
2023,서울,서초구  ,메가랜드원격평생교육시설,원격형태,,066-57,서울특별시 서초구 반포대로 81,,02-3489-8613
2023,서울,강남구  ,에듀팰리스원격평생교육시설,원격형태,,061-34,서울특별시 강남구 테헤란로1길 10,,
2023,서울,강남구  ,투게더원격평생교육원,원격형태,,062-11,서울특별시 강남구 테헤란로 310,2층,070-4334-2150
2023,서울,강남구  ,텔라원격평생교육원,원격형태,,061-32,서울특별시 강남구 테헤란로 151,415호,070-5118-9565
2023,서울,강남구  ,스픽클원격평생교육시설,원격형태,,061-34,서울특별시 강남구 강남대로92길 31,6층 6136호,1855-0575
2023,서울,강남구  ,메디엠아카데미원격평생교육원,원격형태,,061-70,서울특별시 강남구 봉은사로114길 12,,02-550-8136
2023,서울,강남구  ,클레슨원격평생교육원,원격형태,,061-92,서울특별시 강남구 선릉로 428,,02-6954-1002
2023,서울,강남구  ,러닝스푼즈원격평생교육원,원격형태,,062-32,서울특별시 강남구 강남대로 378,14층,02-3445-5170
2023,서울,강남구  ,정샘물아카데미원격평생교육원,원격형태,,060-11,서울특별시 강남구 도산대로81길 25,,02-6242-8100
2023,서울,서초구  ,파비클래스원격평생교육원,원격형태,,065-31,서울특별시 서초구 신반포로49길 12,2층,02-6949-1864
2023,서울,서초구  ,코드스테이츠원격평생교육시설,원격형태,,066-19,서울특별시 서초구 서초대로396 20층 2001호,,070-4735-3320
2023,서울,서초구  ,비앤피랩원격평생교육원,원격형태,,066-50,서울특별시 서초구 서초중앙로 83,서운빌딩 202-2호,070-8154-1314
2023,서울,강남구  ,더아카데미원격평생교육원,원격형태,,060-88,서울특별시 강남구 학동로56길 26,,070-4236-2782
2023,서울,강남구  ,엔터잡에듀평생교육시설,원격형태,,061-23,서울특별시 강남구 강남대로 464,,
